"","Monitoring_Location_ID","Activity_ID","Characteristic_Name","Organization_ID","Project_ID","Activity_Type","Activity_Start_Date","Laboratory_Name","Result_Value_Type","Result_Value","Subject_Taxonomic_Name","Activity_Media","Sample_Collection_Method_ID","Detection_Limit_Unit","Detection_Limit_Value","Characteristic_Name_abr","Mass_g","Length_cm","n","Sum_PFAS","Waterbody","Location_ID","Region","Latitude","Longitude","pct_PFAS","Year","Month"
"473","PAT0122","2021FTC_BELL_F","perfluorononanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.232,"PFNA",1262.67,495,4,4.56,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"474","PAT0122","2021FTC_BELL_A","perfluorooctanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.238,"PFOA",191.2,233,5,9.372,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"475","PAT0122","2021FTC_BELL_E","octadecanoic acid, pentatriacontafluoro-","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone saxatilis","Tissue","SP-003","ng/g",0.465,"PFODA",1441.75,538,4,2.02,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"476","PAT0122","2021FTC_BELL_A","perfluorononanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.238,"PFNA",191.2,233,5,9.372,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"477","PAT0122","2021FTC_BELL_F","perfluorotetradecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0.547,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.465,"PFTeDA",1262.67,495,4,4.56,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.119956140350877,2021,10
"478","PAT0122","2021FTC_BELL_F","perfluorodecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0.247,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.232,"PFDA",1262.67,495,4,4.56,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.0541666666666667,2021,10
"479","PAT0122","2021FTC_BELL_B","perfluorononanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Perca Flavescens","Tissue","SP-003","ng/g",0.242,"PFNA",243,267,5,5.926,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"480","PAT0122","2021FTC_BELL_B","n-methylperfluoro-1-octanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Perca Flavescens","Tissue","SP-003","ng/g",0.484,"NMeFOSA",243,267,5,5.926,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"481","PAT0122","2021FTC_BELL_B","perfluoroundecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0.698,"Perca Flavescens","Tissue","SP-003","ng/g",0.242,"PFUnA",243,267,5,5.926,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.117786027674654,2021,10
"482","PAT0122","2021FTC_BELL_B","perfluorodecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0.301,"Perca Flavescens","Tissue","SP-003","ng/g",0.242,"PFDA",243,267,5,5.926,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.0507931150860614,2021,10
"483","PAT0122","2021FTC_BELL_C","perfluorobutanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Lepomis macrochirus","Tissue","SP-003","ng/g",0.232,"PFBS",124.4,177,5,14.783,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"484","PAT0122","2021FTC_BELL_C","octadecanoic acid, pentatriacontafluoro-","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",1.89,"Lepomis macrochirus","Tissue","SP-003","ng/g",0.232,"PFODA",124.4,177,5,14.783,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.127849556923493,2021,10
"485","PAT0122","2021FTC_BELL_A","perfluoroundecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0.89,"Morone americana","Tissue","SP-003","ng/g",0.238,"PFUnA",191.2,233,5,9.372,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.0949637217242851,2021,10
"486","PAT0122","2021FTC_BELL_C","n-methylperfluoro-1-octanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Lepomis macrochirus","Tissue","SP-003","ng/g",0.465,"NMeFOSA",124.4,177,5,14.783,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"487","PAT0122","2021FTC_BELL_C","n-ethyl-n-(2-hydroxyethyl)perfluorooctanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Lepomis macrochirus","Tissue","SP-003","ng/g",0.465,"EtFOSA",124.4,177,5,14.783,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"488","PAT0122","2021FTC_BELL_A","octadecanoic acid, pentatriacontafluoro-","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",1.04,"Morone americana","Tissue","SP-003","ng/g",0.238,"PFODA",191.2,233,5,9.372,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.11096884336321,2021,10
"489","PAT0122","2021FTC_BELL_B","n-ethyl-n-(2-hydroxyethyl)perfluorooctanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Perca Flavescens","Tissue","SP-003","ng/g",0.484,"EtFOSA",243,267,5,5.926,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"490","PAT0122","2021FTC_BELL_B","octadecanoic acid, pentatriacontafluoro-","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0.756,"Perca Flavescens","Tissue","SP-003","ng/g",0.242,"PFODA",243,267,5,5.926,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.127573405332433,2021,10
"491","PAT0122","2021FTC_BELL_B","perfluorohexanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Perca Flavescens","Tissue","SP-003","ng/g",0.242,"PFHxA",243,267,5,5.926,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"492","PAT0122","2021FTC_BELL_B","perfluorooctanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Perca Flavescens","Tissue","SP-003","ng/g",0.242,"PFOA",243,267,5,5.926,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"493","PAT0122","2021FTC_BELL_B","perfluorotetradecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0.578,"Perca Flavescens","Tissue","SP-003","ng/g",0.242,"PFTeDA",243,267,5,5.926,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.09753628079649,2021,10
"494","PAT0122","2021FTC_BELL_C","perfluorohexanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Lepomis macrochirus","Tissue","SP-003","ng/g",0.232,"PFHxS",124.4,177,5,14.783,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"495","PAT0122","2021FTC_BELL_F","perfluorotridecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0.707,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.465,"PFTrDA",1262.67,495,4,4.56,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.155043859649123,2021,10
"496","PAT0122","2021FTC_BELL_A","perfluorodecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0.391,"Morone americana","Tissue","SP-003","ng/g",0.238,"PFDA",191.2,233,5,9.372,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.0417200170721298,2021,10
"497","PAT0122","2021FTC_BELL_A","perfluorooctane sulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",5.06,"Morone americana","Tissue","SP-003","ng/g",0.238,"PFOS",191.2,233,5,9.372,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.539906103286385,2021,10
"498","PAT0122","2021FTC_BELL_A","perfluoroheptanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.238,"PFHpA",191.2,233,5,9.372,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"499","PAT0122","2021FTC_BELL_A","perfluorotridecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",1.28,"Morone americana","Tissue","SP-003","ng/g",0.238,"PFTrDA",191.2,233,5,9.372,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.136577037985489,2021,10
"500","PAT0122","2021FTC_BELL_A","n-ethyl-n-(2-hydroxyethyl)perfluorooctanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.475,"EtFOSA",191.2,233,5,9.372,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"501","PAT0122","2021FTC_BELL_C","perfluorotetradecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0.92,"Lepomis macrochirus","Tissue","SP-003","ng/g",0.232,"PFTeDA",124.4,177,5,14.783,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.0622336467564094,2021,10
"502","PAT0122","2021FTC_BELL_C","perfluoroundecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",1.51,"Lepomis macrochirus","Tissue","SP-003","ng/g",0.232,"PFUnA",124.4,177,5,14.783,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.102144355002368,2021,10
"503","PAT0122","2021FTC_BELL_C","perfluorooctane sulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",8.11,"Lepomis macrochirus","Tissue","SP-003","ng/g",0.232,"PFOS",124.4,177,5,14.783,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.548603125211391,2021,10
"504","PAT0122","2021FTC_BELL_C","perfluoroheptanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Lepomis macrochirus","Tissue","SP-003","ng/g",0.232,"PFHpA",124.4,177,5,14.783,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"505","PAT0122","2021FTC_BELL_C","perfluorononanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Lepomis macrochirus","Tissue","SP-003","ng/g",0.232,"PFNA",124.4,177,5,14.783,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"506","PAT0122","2021FTC_BELL_E","perfluorobutanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone saxatilis","Tissue","SP-003","ng/g",0.232,"PFBS",1441.75,538,4,2.02,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"507","PAT0122","2021FTC_BELL_E","perfluorotetradecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone saxatilis","Tissue","SP-003","ng/g",0.465,"PFTeDA",1441.75,538,4,2.02,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"508","PAT0122","2021FTC_BELL_A","perfluorohexanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.238,"PFHxA",191.2,233,5,9.372,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"509","PAT0122","2021FTC_BELL_E","perfluorononanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone saxatilis","Tissue","SP-003","ng/g",0.232,"PFNA",1441.75,538,4,2.02,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"510","PAT0122","2021FTC_BELL_F","n-ethyl-n-(2-hydroxyethyl)perfluorooctanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.465,"EtFOSA",1262.67,495,4,4.56,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"511","PAT0122","2021FTC_BELL_F","n-methylperfluoro-1-octanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.465,"NMeFOSA",1262.67,495,4,4.56,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"512","PAT0122","2021FTC_BELL_C","perfluorooctanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Lepomis macrochirus","Tissue","SP-003","ng/g",0.232,"PFOA",124.4,177,5,14.783,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"513","PAT0122","2021FTC_BELL_C","perfluorotridecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",1.49,"Lepomis macrochirus","Tissue","SP-003","ng/g",0.232,"PFTrDA",124.4,177,5,14.783,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.100791449638098,2021,10
"514","PAT0122","2021FTC_BELL_B","perfluorohexanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Perca Flavescens","Tissue","SP-003","ng/g",0.242,"PFHxS",243,267,5,5.926,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"515","PAT0122","2021FTC_BELL_B","perfluoroheptanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Perca Flavescens","Tissue","SP-003","ng/g",0.242,"PFHpA",243,267,5,5.926,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"516","PAT0122","2021FTC_BELL_E","perfluoroheptanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone saxatilis","Tissue","SP-003","ng/g",0.232,"PFHpA",1441.75,538,4,2.02,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"517","PAT0122","2021FTC_BELL_E","perfluorohexanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone saxatilis","Tissue","SP-003","ng/g",0.465,"PFHxA",1441.75,538,4,2.02,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"518","PAT0122","2021FTC_BELL_E","n-methylperfluoro-1-octanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone saxatilis","Tissue","SP-003","ng/g",0.465,"NMeFOSA",1441.75,538,4,2.02,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"519","PAT0122","2021FTC_BELL_A","n-methylperfluoro-1-octanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.475,"NMeFOSA",191.2,233,5,9.372,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"520","PAT0122","2021FTC_BELL_C","perfluorohexanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Lepomis macrochirus","Tissue","SP-003","ng/g",0.232,"PFHxA",124.4,177,5,14.783,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"521","PAT0122","2021FTC_BELL_D","perfluoroundecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",1.86,"Micropterus salmoides","Tissue","SP-003","ng/g",0.232,"PFUnA",983.75,392.5,4,18.12,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.102649006622517,2021,10
"522","PAT0122","2021FTC_BELL_D","perfluorodecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",1.03,"Micropterus salmoides","Tissue","SP-003","ng/g",0.232,"PFDA",983.75,392.5,4,18.12,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.0568432671081678,2021,10
"523","PAT0122","2021FTC_BELL_D","perfluorobutanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.232,"PFBS",983.75,392.5,4,18.12,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"524","PAT0122","2021FTC_BELL_D","n-methylperfluoro-1-octanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.465,"NMeFOSA",983.75,392.5,4,18.12,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"525","PAT0122","2021FTC_BELL_D","perfluorotetradecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0.88,"Micropterus salmoides","Tissue","SP-003","ng/g",0.232,"PFTeDA",983.75,392.5,4,18.12,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.0485651214128035,2021,10
"526","PAT0122","2021FTC_BELL_D","perfluorohexanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.232,"PFHxS",983.75,392.5,4,18.12,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"527","PAT0122","2021FTC_BELL_C","perfluorodecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0.863,"Lepomis macrochirus","Tissue","SP-003","ng/g",0.232,"PFDA",124.4,177,5,14.783,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.0583778664682406,2021,10
"528","PAT0122","2021FTC_BELL_F","perfluorohexanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.465,"PFHxA",1262.67,495,4,4.56,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"529","PAT0122","2021FTC_BELL_D","perfluoroheptanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.232,"PFHpA",983.75,392.5,4,18.12,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"530","PAT0122","2021FTC_BELL_E","perfluorodecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone saxatilis","Tissue","SP-003","ng/g",0.232,"PFDA",1441.75,538,4,2.02,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"531","PAT0122","2021FTC_BELL_A","perfluorotetradecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0.711,"Morone americana","Tissue","SP-003","ng/g",0.238,"PFTeDA",191.2,233,5,9.372,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.0758642765685019,2021,10
"532","PAT0122","2021FTC_BELL_A","perfluorobutanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.238,"PFBS",191.2,233,5,9.372,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"533","PAT0122","2021FTC_BELL_D","octadecanoic acid, pentatriacontafluoro-","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",1.69,"Micropterus salmoides","Tissue","SP-003","ng/g",0.232,"PFODA",983.75,392.5,4,18.12,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.0932671081677704,2021,10
"534","PAT0122","2021FTC_BELL_F","perfluorohexanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.232,"PFHxS",1262.67,495,4,4.56,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"535","PAT0122","2021FTC_BELL_F","perfluorooctanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.232,"PFOA",1262.67,495,4,4.56,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"536","PAT0122","2021FTC_BELL_D","perfluorooctanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.232,"PFOA",983.75,392.5,4,18.12,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"537","PAT0122","2021FTC_BELL_D","perfluorohexanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.232,"PFHxA",983.75,392.5,4,18.12,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"538","PAT0122","2021FTC_BELL_D","perfluorotridecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",1.66,"Micropterus salmoides","Tissue","SP-003","ng/g",0.232,"PFTrDA",983.75,392.5,4,18.12,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.0916114790286976,2021,10
"539","PAT0122","2021FTC_BELL_A","perfluorohexanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.238,"PFHxS",191.2,233,5,9.372,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"540","PAT0122","2021FTC_BELL_D","perfluorooctane sulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",11,"Micropterus salmoides","Tissue","SP-003","ng/g",0.232,"PFOS",983.75,392.5,4,18.12,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.607064017660044,2021,10
"541","PAT0122","2021FTC_BELL_F","perfluoroheptanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.232,"PFHpA",1262.67,495,4,4.56,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"542","PAT0122","2021FTC_BELL_F","perfluorobutanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.232,"PFBS",1262.67,495,4,4.56,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"543","PAT0122","2021FTC_BELL_B","perfluorobutanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Perca Flavescens","Tissue","SP-003","ng/g",0.242,"PFBS",243,267,5,5.926,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"544","PAT0122","2021FTC_BELL_F","perfluoroundecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0.532,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.465,"PFUnA",1262.67,495,4,4.56,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0.116666666666667,2021,10
"545","PAT0122","2021FTC_BELL_D","n-ethyl-n-(2-hydroxyethyl)perfluorooctanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.465,"EtFOSA",983.75,392.5,4,18.12,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"546","PAT0122","2021FTC_BELL_D","perfluorononanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-05,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.232,"PFNA",983.75,392.5,4,18.12,"Patapsco River","Belle Grove Road","Harbors and Bay","39 14.398","76 36.952",0,2021,10
"547","PAT0285","2021FTC_PATP_A","perfluorooctane sulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-20,"Alpha Analytical","Actual",8.82,"Ambloplites rupestris","Tissue","SP-003","ng/g",0.226,"PFOS",67.8,160.4,5,11.033,"Patapsco River","Rt. 99","Metro","39 18.740","76 47.553",0.799419922052026,2021,10
"548","PAT0285","2021FTC_PATP_B","octadecanoic acid, pentatriacontafluoro-","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-20,"Alpha Analytical","Actual",0,"Lepomis auritus","Tissue","SP-003","ng/g",0.236,"PFODA",64.6,156.8,5,4.389,"Patapsco River","Rt. 99","Metro","39 18.740","76 47.553",0,2021,10
